order_id,customer_id,order_date,product_category,product_name,sales,quantity,region
1001,302,2023-01-01,Electronics,Item_B,2655.08,1,West
1002,379,2023-01-02,Home,Item_C,411.84,2,East
1003,292,2023-01-03,Groceries,Item_B,4173.73,2,South
1004,214,2023-01-04,Clothing,Item_B,3034.99,3,East
1005,306,2023-01-05,Electronics,Item_B,663.17,6,South
1006,271,2023-01-06,Beauty,Item_A,559.9,1,East
1007,388,2023-01-07,Home,Item_B,4557.17,2,North
1008,220,2023-01-08,Clothing,Item_A,3379.08,1,East
1009,302,2023-01-09,Clothing,Item_D,4163.51,5,North
1010,321,2023-01-10,Groceries,Item_C,4407.0,7,North
1011,274,2023-01-11,Groceries,Item_A,2901.68,8,West
1012,287,2023-01-12,Beauty,Item_D,2635.49,1,North
1013,316,2023-01-13,Beauty,Item_A,2209.09,7,South
1014,299,2023-01-14,Electronics,Item_A,1653.04,5,West
1015,303,2023-01-15,Electronics,Item_C,2229.52,1,West
1016,351,2023-01-16,Beauty,Item_E,3892.01,3,East
1017,330,2023-01-17,Beauty,Item_E,3049.42,7,North
1018,349,2023-01-18,Home,Item_A,4473.36,1,North
1019,252,2023-01-19,Groceries,Item_B,2272.56,7,South
1020,201,2023-01-20,Electronics,Item_D,3074.74,5,East
1021,287,2023-01-21,Groceries,Item_B,3193.41,1,East
1022,357,2023-01-22,Groceries,Item_B,2999.32,1,West
1023,237,2023-01-23,Beauty,Item_A,3542.91,1,West
1024,329,2023-01-24,Home,Item_A,1263.42,9,West
1025,391,2023-01-25,Clothing,Item_A,2610.58,3,South
1026,387,2023-01-26,Home,Item_A,610.7,5,South
1027,220,2023-01-27,Home,Item_E,1984.11,9,West
1028,360,2023-01-28,Groceries,Item_A,2489.57,6,East
1029,257,2023-01-29,Home,Item_E,3295.9,9,South
1030,221,2023-01-30,Electronics,Item_E,4757.6,8,East
1031,288,2023-01-31,Groceries,Item_A,3043.19,8,East
1032,248,2023-02-01,Electronics,Item_C,3743.61,1,North
1033,258,2023-02-02,Clothing,Item_D,2580.7,9,West
1034,369,2023-02-03,Groceries,Item_B,3207.11,6,North
1035,387,2023-02-04,Clothing,Item_E,447.57,9,West
1036,214,2023-02-05,Groceries,Item_D,1346.52,3,West
1037,389,2023-02-06,Beauty,Item_C,1873.08,3,East
1038,389,2023-02-07,Home,Item_B,2415.22,6,West
1039,374,2023-02-08,Beauty,Item_B,323.68,9,East
1040,389,2023-02-09,Clothing,Item_E,786.12,7,East
1041,250,2023-02-10,Home,Item_A,1456.39,3,West
1042,307,2023-02-11,Groceries,Item_C,4860.51,3,East
1043,254,2023-02-12,Home,Item_E,1723.6,2,East
1044,263,2023-02-13,Electronics,Item_C,2462.0,9,East
1045,330,2023-02-14,Home,Item_A,1060.88,3,South
1046,250,2023-02-15,Electronics,Item_A,3092.82,5,East
1047,334,2023-02-16,Home,Item_E,1475.35,9,South
1048,220,2023-02-17,Electronics,Item_A,1114.26,8,South
1049,272,2023-02-18,Clothing,Item_D,2631.21,2,East
1050,366,2023-02-19,Beauty,Item_B,126.98,3,East
1051,217,2023-02-20,Groceries,Item_E,137.55,2,South
1052,331,2023-02-21,Home,Item_C,1173.44,8,South
1053,288,2023-02-22,Beauty,Item_D,279.93,6,East
1054,259,2023-02-23,Groceries,Item_E,629.33,6,East
1055,213,2023-02-24,Groceries,Item_A,1760.42,9,West
1056,208,2023-02-25,Electronics,Item_A,4032.67,8,South
1057,289,2023-02-26,Clothing,Item_A,2903.04,4,South
1058,252,2023-02-27,Clothing,Item_A,2612.07,4,West
1059,329,2023-02-28,Beauty,Item_C,1538.1,9,South
1060,283,2023-03-01,Clothing,Item_D,4665.59,1,North
1061,291,2023-03-02,Home,Item_B,2045.37,2,South
1062,310,2023-03-03,Clothing,Item_C,526.75,2,West
1063,387,2023-03-04,Beauty,Item_C,3123.63,6,North
1064,398,2023-03-05,Clothing,Item_B,657.81,4,East
1065,371,2023-03-06,Home,Item_B,1791.59,3,West
1066,207,2023-03-07,Electronics,Item_A,2586.32,3,West
1067,374,2023-03-08,Beauty,Item_C,4383.69,3,East
1068,234,2023-03-09,Electronics,Item_E,2518.38,6,West
1069,280,2023-03-10,Electronics,Item_B,3541.07,8,South
1070,363,2023-03-11,Electronics,Item_B,4964.8,7,East
1071,249,2023-03-12,Groceries,Item_D,744.3,4,West
1072,303,2023-03-13,Groceries,Item_E,1446.18,4,East
1073,331,2023-03-14,Electronics,Item_E,2033.42,2,East
1074,201,2023-03-15,Beauty,Item_B,2166.96,1,East
1075,333,2023-03-16,Home,Item_A,2114.0,9,North
1076,253,2023-03-17,Home,Item_D,4547.29,2,West
1077,305,2023-03-18,Clothing,Item_E,3598.76,8,North
1078,203,2023-03-19,Beauty,Item_B,3078.74,9,West
1079,253,2023-03-20,Groceries,Item_E,1615.93,4,South
1080,390,2023-03-21,Electronics,Item_D,4136.57,8,South
1081,345,2023-03-22,Clothing,Item_D,4779.8,9,South
1082,243,2023-03-23,Home,Item_C,4123.87,5,West
1083,361,2023-03-24,Groceries,Item_B,107.67,7,East
1084,389,2023-03-25,Groceries,Item_D,3218.37,4,East
1085,213,2023-03-26,Electronics,Item_C,350.56,1,North
1086,294,2023-03-27,Home,Item_C,1362.28,3,North
1087,247,2023-03-28,Beauty,Item_E,391.67,5,South
1088,214,2023-03-29,Groceries,Item_E,3058.6,3,North
1089,399,2023-03-30,Electronics,Item_C,3464.29,7,West
1090,389,2023-03-31,Beauty,Item_E,660.99,9,West
1091,239,2023-04-01,Home,Item_D,1980.81,6,North
1092,281,2023-04-02,Groceries,Item_A,2335.56,1,North
1093,310,2023-04-03,Beauty,Item_D,1908.36,7,North
1094,252,2023-04-04,Beauty,Item_C,693.02,3,North
1095,223,2023-04-05,Beauty,Item_C,2152.84,5,South
1096,353,2023-04-06,Groceries,Item_D,3780.77,4,South
1097,387,2023-04-07,Groceries,Item_E,447.94,5,North
1098,323,2023-04-08,Clothing,Item_E,492.88,5,West
1099,240,2023-04-09,Home,Item_C,1838.38,6,South
1100,356,2023-04-10,Electronics,Item_B,4714.46,6,West
1101,214,2023-04-11,Beauty,Item_E,3376.01,8,East
1102,244,2023-04-12,Clothing,Item_D,3425.48,8,West
1103,264,2023-04-13,Electronics,Item_E,1873.41,9,North
1104,288,2023-04-14,Clothing,Item_D,3008.94,8,East
1105,270,2023-04-15,Groceries,Item_C,149.64,2,South
1106,208,2023-04-16,Beauty,Item_E,3216.87,1,South
1107,287,2023-04-17,Electronics,Item_D,4575.11,2,East
1108,328,2023-04-18,Electronics,Item_C,3101.61,2,West
1109,335,2023-04-19,Electronics,Item_B,4381.12,3,South
1110,262,2023-04-20,Electronics,Item_D,3647.47,7,North
1111,338,2023-04-21,Electronics,Item_B,690.74,2,East
1112,280,2023-04-22,Clothing,Item_B,4522.02,1,North
1113,335,2023-04-23,Beauty,Item_A,425.57,6,East
1114,362,2023-04-24,Groceries,Item_E,2716.44,9,South
1115,362,2023-04-25,Groceries,Item_D,796.47,3,West
1116,232,2023-04-26,Groceries,Item_B,157.36,6,East
1117,322,2023-04-27,Groceries,Item_A,2167.97,3,East
1118,204,2023-04-28,Clothing,Item_C,1545.7,1,North
1119,240,2023-04-29,Home,Item_D,2481.4,5,South
1120,227,2023-04-30,Beauty,Item_B,2928.28,4,North
1121,334,2023-05-01,Electronics,Item_E,314.32,7,South
